stockid,tsn,scientificname,commonname,areaid,stocklong,region,area_overlap_perc,SSB,SSB_units,TB,TB_units,TC,TC_units,TL,TL_units,assessmethod,biomass,catch,survey_biomass_uncorrected,survey_biomass_corrected
HADROCK,164744,Melanogrammus aeglefinus,Haddock,multinational-ICES-VIb,Haddock Rockall Bank,European Union,18.28667465,11388.33333,MT,25750,MT,7641.666667,MT,4433.333333,MT,Unknown,25750,7641.666667,46977.13091,205231.9275
ALPLAICBSAI,172901,Pleuronectes quadrituberculatus,Alaska plaice,USA-NMFS-BSAI,Alaska plaice Bering Sea and Aleutian Islands,US Alaska,19.64836572,242500,MT,545000,MT,10743.33333,MT,NA,NA,Unknown,545000,10743.33333,212239.015,1058255.477
ARFLOUNDBSAI,616029,Atheresthes stomias,Arrowtooth flounder,USA-NMFS-BSAI,Arrowtooth flounder Bering Sea and Aleutian Islands,US Alaska,19.64836572,402166.6667,MT,748333.3333,MT,12800,MT,NA,NA,Unknown,748333.3333,12800,1232.768942,6146.770348
ATKABSAI,167120,Pleurogrammus monopterygius,Atka mackerel,USA-NMFS-BSAI,Atka mackerel Bering Sea and Aleutian Islands,US Alaska,19.64836572,275666.6667,MT,970833.3333,MT,55116.66667,MT,NA,NA,Unknown,970833.3333,55116.66667,815300.1599,2508615.877
FLSOLEBSAI,172875,Hippoglossoides elassodon,Flathead sole,USA-NMFS-BSAI,Flathead sole Bering Sea and Aleutian Islands,US Alaska,19.64836572,272333.3333,MT,799500,MT,16933.33333,MT,NA,NA,Unknown,799500,16933.33333,1618.882496,5995.861095
GHALBSAI,172930,Reinhardtius hippoglossoides,Greenland halibut,USA-NMFS-BSAI,Greenland turbot Bering Sea and Aleutian Islands,US Alaska,19.64836572,48633.33333,MT,76050,MT,NA,NA,4056.666667,MT,SS3,76050,4056.666667,33415.55684,83538.8921
KMFLOUNBSAI,172861,Atheresthes evermanni,Kamchatka flounder,USA-NMFS-BSAI,Kamchatka flounder Bering Sea and Aleutian Islands,US Alaska,19.64836572,54350,MT,130000,MT,1376.666667,MT,NA,NA,Unknown,130000,1376.666667,22.90792603,114.2223459
NROCKBSAI,166735,Sebastes polyspinis,Northern rockfish,USA-NMFS-BSAI,Northern rockfish Bering Sea and Aleutian Islands,US Alaska,19.64836572,104333.3333,MT,251000,MT,4880,MT,NA,NA,Unknown,251000,4880,28091.96685,92104.80936
SRAKEROCKBSAI,166712,Sebastes borealis,Shortraker rockfish,USA-NMFS-BSAI,Shortraker rockfish Bering Sea and Aleutian Islands,US Alaska,19.64836572,NA,NA,23000,MT,206,MT,NA,NA,Unknown,23000,206,20656.78575,67727.16638
YSOLEBSAI,172907,Limanda aspera,Yellowfin sole,USA-NMFS-BSAI,Yellowfin sole Bering Sea and Aleutian Islands,US Alaska,19.64836572,858833.3333,MT,2543333.333,MT,76400,MT,NA,NA,Unknown,2543333.333,76400,275823.6543,1282900.718
ANCHOBAYB,161831,Engraulis encrasicolus,Anchovy,multinational-ICES-VIII,Anchovy ICES VIII,European Union,19.85388272,49066.66667,MT,49366.66667,MT,20455,MT,20455,MT,Unknown,49366.66667,20455,5045.00821,26450.88072
PCODBS,164711,Gadus macrocephalus,Pacific cod,USA-NMFS-BS,Pacific cod Bering Sea,US Alaska,21.29963565,304333.3333,MT,1081500,MT,167166.6667,MT,NA,NA,SS3,1081500,167166.6667,324867.821,1339661.117
