"","lhs","op","rhs","exo","est","se","z","pvalue","std.lv","std.all","std.nox"
"1","biomass","~","tlw",0,-0.0996600425139115,0.104740835497667,-0.951491765751009,0.341354796551256,-0.0996600425139115,-0.096742416428802,-0.096742416428802
"2","biomass","~","ER_log",0,-0.464496195267738,0.104670963806761,-4.43767954716908,9.09338622778755e-06,-0.464496195267738,-0.451020238590072,-0.451020238590072
"3","biomass","~","SST_time",0,-0.6288777810594,0.113412448424928,-5.54505073996068,2.93868940293152e-08,-0.6288777810594,-0.61063278827056,-0.61063278827056
"4","biomass","~","z_prod",0,0.356999845252529,0.113414261971736,3.14775090051282,0.00164531837470094,0.356999845252529,0.346642520256709,0.346642520256709
"5","tlw","~","NPP",0,0.0309319031150062,0.150231500047422,0.205894922870651,0.836872991447442,0.0309319031150062,0.0309403035894249,0.0309403035894249
"6","tlw","~","ER_log",0,0.0737707171291633,0.150231473419078,0.49104701864553,0.623393192694137,0.0737707171291633,0.0737907648316297,0.0737907648316297
"7","z_prod","~","NPP",0,1.07837951489702,0.13086965766687,8.24010342903203,2.22044604925031e-16,1.07837951489702,1.07837948184924,1.07837948184924
"8","z_prod","~","SST_time",0,-0.414727596060035,0.130869634470387,-3.16901317665008,0.00152957460538206,-0.414727596060035,-0.41472765686034,-0.41472765686034
"9","NPP","~","SST_time",0,0.746906095982422,0.100241858577465,7.45103998052098,9.25926002537381e-14,0.746906095982422,0.746906228370614,0.746906228370614
"10","ER_log","~~","SST_time",0,0,0,NA,NA,0,0,0
"11","biomass","~~","biomass",0,0.468541204884697,0.0998933205235381,4.69041575982343,2.72650465604762e-06,0.468541204884697,0.45202218582515,0.45202218582515
"12","tlw","~~","tlw",0,0.970488307973227,0.206908802474636,4.69041575982343,2.72650465604762e-06,0.970488307973227,0.993597620639357,0.993597620639357
"13","z_prod","~~","z_prod",0,0.325609662399049,0.069420213275786,4.69041575982342,2.72650465604762e-06,0.325609662399049,0.333182078874345,0.333182078874345
"14","NPP","~~","NPP",0,0.43208249770874,0.0921202980362247,4.69041575982343,2.72650465604762e-06,0.43208249770874,0.442131086021184,0.442131086021184
"15","ER_log","~~","ER_log",0,0.977272724180808,0.208355244870147,4.69041575982343,2.72650465604762e-06,0.977272724180808,1,1
"16","SST_time","~~","SST_time",0,0.977272724180808,0.208355244870147,4.69041575982343,2.72650465604762e-06,0.977272724180808,1,1
"17","biomass","r2","biomass",0,0.54797781417485,NA,NA,NA,NA,NA,NA
"18","tlw","r2","tlw",0,0.00640237936064281,NA,NA,NA,NA,NA,NA
"19","z_prod","r2","z_prod",0,0.666817921125655,NA,NA,NA,NA,NA,NA
"20","NPP","r2","NPP",0,0.557868913978816,NA,NA,NA,NA,NA,NA
"21","biomass","~","tlw",0,-0.187270812540689,0.105825387425078,-1.76962085466752,0.0767903223674948,-0.187270812540689,-0.179444399291445,-0.179444399291445
"22","biomass","~","ER_log",0,-0.49321203184695,0.105908642972101,-4.65695733611539,3.2091691568592e-06,-0.49321203184695,-0.470868805703834,-0.470868805703834
"23","biomass","~","SST_time",0,-0.740670732689572,0.124301059793632,-5.95868397195692,2.54277288114224e-09,-0.740670732689572,-0.707117265601394,-0.707117265601394
"24","biomass","~","z_prod",0,0.499820034679341,0.124296571940016,4.02118921606742,5.79050677802506e-05,0.499820034679341,0.477177317716374,0.477177317716374
