"","lhs","op","rhs","exo","est","se","z","pvalue","std.lv","std.all","std.nox"
"1","biomass","~","tlw",0,-0.102859170621712,0.105247284021994,-0.977309500929415,0.328415950868625,-0.102859170621712,-0.0996597617059145,-0.0996597617059145
"2","biomass","~","ER_log",0,-0.490373948233441,0.105122698244712,-4.66477703123557,3.0895185221258e-06,-0.490373948233441,-0.475346457087113,-0.475346457087113
"3","biomass","~","SST_time",0,-0.560993923342583,0.109638556536251,-5.11675765411134,3.10832581451592e-07,-0.560993923342583,-0.543802285722876,-0.543802285722876
"4","biomass","~","z_prod",0,0.373023959650968,0.109641855439745,3.40220400461908,0.000668447202795797,0.373023959650968,0.361592596825753,0.361592596825753
"5","tlw","~","NPP",0,0.0415676628334655,0.151956432920189,0.273549872385448,0.784430560987391,0.0415676628334655,0.0415873908221874,0.0415873908221874
"6","tlw","~","ER_log",0,0.0664908532000904,0.151956440469011,0.437565219314612,0.66170148853795,0.0664908532000904,0.0665224064158655,0.0665224064158655
"7","z_prod","~","NPP",0,1.08908593987912,0.126711352772351,8.59501470113542,0,1.08908593987912,1.08908616762652,1.08908616762652
"8","z_prod","~","SST_time",0,-0.488932079757999,0.12671135906706,-3.85862864511808,0.000114025042745602,-0.488932079757999,-0.48893215771352,-0.48893215771352
"9","NPP","~","SST_time",0,0.715561811118172,0.106527798951278,6.7171369178992,1.85329529500677e-11,0.715561811118172,0.715561775570822,0.715561775570822
"10","ER_log","~~","SST_time",0,0,0,NA,NA,0,0,0
"11","biomass","~~","biomass",0,0.462076002922741,0.0996538736518386,4.63680924774785,3.53828663057776e-06,0.462076002922741,0.444527196870031,0.444527196870031
"12","tlw","~~","tlw",0,0.969811881205065,0.209155009271972,4.63680924774785,3.53828663057776e-06,0.969811881205065,0.993845258369245,0.993845258369245
"13","z_prod","~~","z_prod",0,0.329059698156031,0.0709668396033025,4.63680924774785,3.53828663057776e-06,0.329059698156031,0.336894570862013,0.336894570862013
"14","NPP","~~","NPP",0,0.476623206936838,0.102791204354231,4.63680924774785,3.53828663057776e-06,0.476623206936838,0.487971345341932,0.487971345341932
"15","ER_log","~~","ER_log",0,0.976744155433805,0.210650061981355,4.63680924774786,3.53828663057776e-06,0.976744155433805,1,1
"16","SST_time","~~","SST_time",0,0.976744155433805,0.210650061981354,4.63680924774787,3.53828663057776e-06,0.976744155433805,1,1
"17","biomass","r2","biomass",0,0.555472803129969,NA,NA,NA,NA,NA,NA
"18","tlw","r2","tlw",0,0.0061547416307548,NA,NA,NA,NA,NA,NA
"19","z_prod","r2","z_prod",0,0.663105429137987,NA,NA,NA,NA,NA,NA
