"","lhs","op","rhs","exo","est","se","z","pvalue","std.lv","std.all","std.nox"
"1","biomass","~","tlw",0,-0.0563714905009035,0.107082323300406,-0.526431335849527,0.598588548262906,-0.0563714905009035,-0.0555530204017112,-0.0555530204017112
"2","biomass","~","ER_log",0,-0.446786573266531,0.107013413143519,-4.17505208125013,2.97917888631982e-05,-0.446786573266531,-0.44041920033143,-0.44041920033143
"3","biomass","~","T_time",0,-0.576689352938781,0.110604727226488,-5.21396659437424,1.84844769490766e-07,-0.576689352938781,-0.568470672258615,-0.568470672258615
"4","biomass","~","z_prod",0,0.257306163588321,0.110615838907754,2.32612405356249,0.0200119336969093,0.257306163588321,0.253639170786415,0.253639170786415
"5","tlw","~","NPP",0,0.0309319467203529,0.150231503626662,0.205895208219584,0.836872768547045,0.0309319467203529,0.0309403463336067,0.0309403463336067
"6","tlw","~","ER_log",0,0.0737707641205097,0.150231484571098,0.491047294986937,0.623392997248537,0.0737707641205097,0.0737908060340737,0.0737908060340737
"7","z_prod","~","NPP",0,0.98149916725795,0.111161682284237,8.82947385366378,0,0.98149916725795,0.981499032769145,0.981499032769145
"8","z_prod","~","T_time",0,-0.344383576876051,0.111161668184341,-3.09804254021228,0.00194803463435278,-0.344383576876051,-0.344383573369355,-0.344383573369355
"9","NPP","~","T_time",0,0.61815419060948,0.118502506969002,5.2163807029937,1.82452990271642e-07,0.61815419060948,0.61815426901699,0.61815426901699
"10","ER_log","~~","T_time",0,0,0,NA,NA,0,0,0
"11","biomass","~~","biomass",0,0.489747019167719,0.104414415319583,4.69041575982343,2.72650465604762e-06,0.489747019167719,0.486954483049944,0.486954483049944
"12","tlw","~~","tlw",0,0.970488265764245,0.206908793475651,4.69041575982343,2.72650465604762e-06,0.970488265764245,0.993597611913598,0.993597611913598
"13","z_prod","~~","z_prod",0,0.328311688597777,0.0699962871969661,4.69041575982344,2.72650465604762e-06,0.328311688597777,0.335946902855222,0.335946902855222
"14","NPP","~~","NPP",0,0.603842180969146,0.128739585548356,4.69041575982343,2.72650465604762e-06,0.603842180969146,0.617885299696071,0.617885299696071
"15","ER_log","~~","ER_log",0,0.977272536586465,0.208355204874899,4.69041575982343,2.72650465604762e-06,0.977272536586465,1,1
"16","T_time","~~","T_time",0,0.977272536586465,0.208355204874898,4.69041575982344,2.72650465604762e-06,0.977272536586465,1,1
"17","biomass","r2","biomass",0,0.513045516950056,NA,NA,NA,NA,NA,NA
"18","tlw","r2","tlw",0,0.00640238808640181,NA,NA,NA,NA,NA,NA
"19","z_prod","r2","z_prod",0,0.664053097144778,NA,NA,NA,NA,NA,NA
"20","NPP","r2","NPP",0,0.382114700303929,NA,NA,NA,NA,NA,NA
"21","biomass","~","tlw",0,-0.168536004380628,0.108263367991771,-1.55672234761289,0.119536420465685,-0.168536004380628,-0.163275023214043,-0.163275023214043
"22","biomass","~","ER_log",0,-0.483449018171943,0.108357322060766,-4.46161836576976,8.13429953283595e-06,-0.483449018171943,-0.466642396225265,-0.466642396225265
"23","biomass","~","T_time",0,-0.672862531067388,0.119071579885622,-5.65090789686108,1.59602595584118e-08,-0.672862531067388,-0.649471137649122,-0.649471137649122
"24","biomass","~","z_prod",0,0.394959678478738,0.119118539329993,3.31568604434097,0.000914184683435959,0.394959678478738,0.381229373850999,0.381229373850999
"25","tlw","~","NPP",0,-0.0838427215404713,0.160709659763048,-0.521703061683347,0.601877092624063,-0.0838427215404713,-0.0835356541340065,-0.0835356541340065
"26","tlw","~","ER_log",0,0.211458473307701,0.160709682081472,1.31577930196204,0.188248128276889,0.211458473307701,0.210683993938489,0.210683993938489
"27","z_prod","~","NPP",0,0.984562450415018,0.138086681273888,7.13003195769611,1.00341956965622e-12,0.984562450415018,0.984562396387378,0.984562396387378
"28","z_prod","~","T_time",0,-0.258850561539305,0.138086700450564,-1.87455099364891,0.060854520487249,-0.258850561539305,-0.258850511387284,-0.258850511387284
"29","NPP","~","T_time",0,0.725981985521335,0.113059471846638,6.42123984539845,1.35168765069693e-10,0.725981985521335,0.725981884701187,0.725981884701187
"30","ER_log","~~","T_time",0,0,0,NA,NA,0,0,0
"31","biomass","~~","biomass",0,0.403819403088607,0.0938861041759785,4.30116263352131,1.69904299476276e-05,0.403819403088607,0.386681691459847,0.386681691459847
"32","tlw","~~","tlw",0,0.929793279472803,0.216172546517171,4.30116263352132,1.69904299476276e-05,0.929793279472803,0.94863404918653,0.94863404918653
"33","z_prod","~~","z_prod",0,0.32465457831336,0.075480656272597,4.3011626335213,1.69904299476276e-05,0.32465457831336,0.333672771510436,0.333672771510436
"34","NPP","~~","NPP",0,0.460167797524705,0.106986839776382,4.30116263352132,1.69904299476276e-05,0.460167797524705,0.472950303085712,0.472950303085712
