"Family","Genus","Species","lme","fao","Subspecies"
"Triglidae","Eutrigla","gurnardus","22",27,""
"Callionymidae","Callionymus","lyra","22",27,""
"Soleidae","Solea","solea","22",27,""
"Gadidae","Gadus","morhua","22",27,""
"Pleuronectidae","Hippoglossoides","platessoides","22",27,""
"Pleuronectidae","Limanda","limanda","22",27,""
"Gadidae","Merlangius","merlangus","22",27,""
"Pleuronectidae","Pleuronectes","platessa","22",27,""
"Scombridae","Scomber","scombrus","22",27,""
"Gadidae","Trisopterus","minutus","22",27,""
"Clupeidae","Clupea","harengus","22",27,""
"Clupeidae","Sprattus","sprattus","22",27,""
"Pleuronectidae","Microstomus","kitt","22",27,""
"Lotidae","Gaidropsarus","vulgaris","22",27,""
"Gadidae","Trisopterus","esmarkii","22",27,""
"Gadidae","Melanogrammus","aeglefinus","22",27,""
"Gadidae","Trisopterus","luscus","22",27,""
"Cyclopteridae","Cyclopterus","lumpus","22",27,""
"Rajidae","Amblyraja","radiata","22",27,""
"Squalidae","Squalus","acanthias","22",27,""
"Anarhichadidae","Anarhichas","lupus","22",27,""
"Gadidae","Pollachius","virens","22",27,""
"Gadidae","Pollachius","pollachius","22",27,""
"Sebastidae","Sebastes","","22",27,""
"Lotidae","Molva","molva","22",27,""
"Agonidae","Agonus","cataphractus","22",27,""
"Rajidae","Raja","clavata","22",27,""
"Scophthalmidae","Scophthalmus","maximus","22",27,""
"Lotidae","Enchelyopus","cimbrius","22",27,""
"Pleuronectidae","Glyptocephalus","cynoglossus","22",27,""
"Lophiidae",NA,"","22",27,""
"Argentinidae","Argentina","","22",27,""
"Pleuronectidae","Platichthys","flesus","22",27,""
"Rajidae","Dipturus","","22",27,""
"Rajidae","Leucoraja","naevus","22",27,""
"Stichaeidae","Lumpenus","lampretaeformis","22",27,""
"Merlucciidae","Merluccius","merluccius","22",27,""
"Cottidae","Triglops","murrayi","22",27,""
"Scyliorhinidae","Scyliorhinus","canicula","22",27,""
"Gadidae","Micromesistius","poutassou","22",27,""
"Rajidae",NA,"","22",27,""
"Carangidae","Trachurus","trachurus","22",27,""
"Callionymidae",NA,"","22",27,""
"Lophiidae","Lophius","piscatorius","22",27,""
"Cottidae",NA,"","22",27,""
"Gobiidae",NA,"","22",27,""
"Ammodytidae",NA,"","22",27,""
"Scophthalmidae","Lepidorhombus","whiffiagonis","22",27,""
"Scophthalmidae","Scophthalmus","rhombus","22",27,""
"Clupeidae","Alosa","","22",27,""
"Rajidae","Raja","brachyura","22",27,""
"Soleidae","Buglossidium","luteum","22",27,""
"Rajidae","Raja","montagui","22",27,""
"Scophthalmidae","Phrynorhombus","norvegicus","22",27,""
"Soleidae","Microchirus","variegatus","22",27,""
"Callionymidae","Callionymus","","22",27,""
"Sparidae",NA,"","22",27,""
"Bothidae",NA,"","22",27,""
"Triglidae","Chelidonichthys","cuculus","22",27,""
"Scophthalmidae","Zeugopterus","regius","22",27,""
"Bothidae","Arnoglossus","laterna","22",27,""
"Engraulidae","Engraulis","encrasicolus","22",27,""
"Sebastidae","Sebastes","viviparus","22",27,""
"Ammodytidae","Ammodytes","","22",27,""
"Pleuronectidae","Hippoglossus","hippoglossus","22",27,""
"Anarhichadidae",NA,"","22",27,""
"Lotidae","Gaidropsarus","","22",27,""
"Rajidae","Raja","","22",27,""
"Phycidae","Phycis","blennoides","22",27,""
"Chimaeridae","Chimaera","monstrosa","22",27,""
"Gadidae","Gadiculus","argenteus","22",27,""
"Lotidae","Brosme","brosme","22",27,""
"Gobiidae","Pomatoschistus","","22",27,""
"Gobiidae","Aphia","minuta","22",27,""
"Trachinidae","Echiichthys","vipera","22",27,""
"Liparidae","Liparis","","22",27,""
"Ammodytidae","Hyperoplus","lanceolatus","22",27,""
"Sternoptychidae","Maurolicus","muelleri","22",27,""
"Triakidae","Mustelus","","22",27,""
"Gasterosteidae",NA,"","22",27,""
"Zoarcidae","Lycodes","vahlii","22",27,""
"Cottidae","Myoxocephalus","scorpius","22",27,""
"Trachinidae","Trachinus","draco","22",27,""
"Anarhichadidae","Anarhichas","","22",27,""
"Ammodytidae","Ammodytes","tobianus","22",27,""
"Gasterosteidae","Gasterosteus","aculeatus aculeatus","22",27,"aculeatus"
"Zoarcidae","Lycodes","","22",27,""
"Etmopteridae","Etmopterus","spinax","22",27,""
"Salmonidae","Salmo","trutta trutta","22",27,"trutta"
"Syngnathidae","Syngnathus","","22",27,""
"Stichaeidae",NA,"","22",27,""
"Myxinidae","Myxine","glutinosa","22",27,""
"Anguillidae","Anguilla","anguilla","22",27,""
"Petromyzontidae","Petromyzon","marinus","22",27,""
"Congridae","Conger","conger","22",27,""
"Sebastidae","Helicolenus","dactylopterus","22",27,""
"Rajidae","Leucoraja","fullonica","22",27,""
"Triglidae",NA,"","22",27,""
"Scophthalmidae","Zeugopterus","punctatus","22",27,""
"Lotidae","Ciliata","","22",27,""
"Zoarcidae","Zoarces","viviparus","22",27,""
"Syngnathidae",NA,"","22",27,""
"Clupeidae","Sardina","pilchardus","22",27,""
"Zoarcidae","Lycenchelys","sarsii","22",27,""
"Cottidae","Taurulus","bubalis","22",27,""
"Anguillidae",NA,"","22",27,""
"Syngnathidae","Entelurus","aequoreus","22",27,""
"Ammodytidae","Ammodytes","marinus","22",27,""
"Rajidae","Raja","undulata","22",27,""
"Anarhichadidae","Anarhichas","minor","22",27,""
"Lotidae","Molva","dypterygia","22",27,""
"Pholidae","Pholis","gunnellus","22",27,""
"Gadidae","Raniceps","raninus","22",27,""
"Zeidae","Zeus","faber","22",27,""
"Gobiidae","Crystallogobius","linearis","22",27,""
"Cyclopteridae",NA,"","22",27,""
"Osmeridae","Osmerus","eperlanus","22",27,""
"Triakidae","Galeorhinus","galeus","22",27,""
"Scyliorhinidae","Scyliorhinus","stellaris","22",27,""
"Mullidae","Mullus","surmuletus","22",27,""
"Scomberesocidae","Scomberesox","saurus saurus","22",27,"saurus"
"Gadidae","Gadiculus","","22",27,""
"Gobiidae","Gobius","","22",27,""
"Carapidae","Echiodon","drummondii","22",27,""
"Gobiesocidae","Diplecogaster","bimaculata bimaculata","22",27,"bimaculata"
"Triglidae","Chelidonichthys","lucerna","22",27,""
"Macrouridae","Coryphaenoides","rupestris","22",27,""
"Lotidae","Gaidropsarus","mediterraneus","22",27,""
"Salmonidae","Salmo","salar","22",27,""
"Soleidae",NA,"","22",27,""
"Stichaeidae","Leptoclinus","maculatus","22",27,""
"Caproidae","Capros","aper","22",27,""
"Rajidae","Leucoraja","circularis","22",27,""
"Belonidae","Belone","belone","22",27,""
"Moronidae","Dicentrarchus","labrax","22",27,""
"Sparidae","Pagellus","erythrinus","22",27,""
"Soleidae","Buglossidium","","22",27,""
"Ammodytidae","Gymnammodytes","semisquamatus","22",27,""
"Petromyzontidae","Lampetra","fluviatilis","22",27,""
"Sparidae","Spondyliosoma","cantharus","22",27,""
"Scorpaenidae","Scorpaena","scrofa","22",27,""
"Soleidae","Microchirus","","22",27,""
"Scophthalmidae","Zeugopterus","","22",27,""
"Mugilidae",NA,"","22",27,""
"Gobiesocidae","Lepadogaster","","22",27,""
"Syngnathidae","Nerophis","","22",27,""
"Caproidae",NA,"","22",27,""
"Mugilidae","Chelon","labrosus","22",27,""
"Pentanchidae","Galeus","melastomus","22",27,""
"Labridae","Labrus","bergylta","22",27,""
"Lophiidae","Lophius","budegassa","22",27,""
"Argentinidae",NA,"","22",27,""
"Moronidae","Dicentrarchus","","22",27,""
"Mugilidae","Chelon","auratus","22",27,""
"Bothidae","Arnoglossus","imperialis","22",27,""
"Macrouridae","Trachyrincus","murrayi","22",27,""
"Ammodytidae","Hyperoplus","immaculatus","22",27,""
"Blenniidae","Blennius","","22",27,""
"Soleidae","Pegusa","lascaris","22",27,""
"Gobiidae","Lesueurigobius","","22",27,""
"Gasterosteidae","Spinachia","spinachia","22",27,""
"Rajidae","Leucoraja","lentiginosa","22",27,""
"Bothidae","Arnoglossus","","22",27,""
"Ammodytidae","Hyperoplus","","22",27,""
"Gobiidae","Lesueurigobius","friesii","22",27,""
"Gadidae","Merlangius","merlangus","24",27,""
"Clupeidae","Sprattus","sprattus","24",27,""
"Pleuronectidae","Platichthys","flesus","24",27,""
"Clupeidae","Clupea","harengus","24",27,""
"Gadidae","Gadus","morhua","24",27,""
"Pleuronectidae","Pleuronectes","platessa","24",27,""
"Gadidae","Pollachius","virens","24",27,""
"Cottidae","Taurulus","bubalis","24",27,""
"Moronidae","Dicentrarchus","labrax","24",27,""
"Pleuronectidae","Microstomus","kitt","24",27,""
"Agonidae","Agonus","cataphractus","24",27,""
