Family,Genus,Species,lme,fao,Subspecies
Agonidae,Agonus,cataphractus,22,27,
Agonidae,Agonus,cataphractus,20,27,
Agonidae,Agonus,cataphractus,21,27,
Agonidae,Aspidophoroides,olrikii,20,27,
Agonidae,Leptagonus,decagonus,20,27,
Agonidae,Leptagonus,decagonus,22,27,
Agonidae,Leptagonus,decagonus,21,27,
Ammodytidae,Ammodytes,marinus,22,27,
Ammodytidae,Ammodytes,marinus,20,27,
Ammodytidae,Ammodytes,marinus,21,27,
Ammodytidae,Ammodytes,tobianus,22,27,
Ammodytidae,Ammodytes,tobianus,20,27,
Ammodytidae,Ammodytes,,22,27,
Ammodytidae,Ammodytes,,20,27,
Ammodytidae,Hyperoplus,immaculatus,22,27,
Ammodytidae,Hyperoplus,lanceolatus,22,27,
Ammodytidae,Hyperoplus,lanceolatus,20,27,
Ammodytidae,NA,,22,27,
Ammodytidae,NA,,20,27,
Ammodytidae,NA,,21,27,
Anarhichadidae,Anarhichas,denticulatus,20,27,
Anarhichadidae,Anarhichas,denticulatus,22,27,
Anarhichadidae,Anarhichas,denticulatus,21,27,
Anarhichadidae,Anarhichas,lupus,20,27,
Anarhichadidae,Anarhichas,lupus,22,27,
Anarhichadidae,Anarhichas,lupus,21,27,
Anarhichadidae,Anarhichas,minor,20,27,
Anarhichadidae,Anarhichas,minor,22,27,
Anarhichadidae,Anarhichas,minor,21,27,
Anarhichadidae,NA,,20,27,
Anarhichadidae,NA,,22,27,
Anarhichadidae,NA,,21,27,
Anguillidae,Anguilla,anguilla,22,27,
Anguillidae,Anguilla,anguilla,21,27,
Argentinidae,Argentina,silus,20,27,
Argentinidae,Argentina,silus,22,27,
Argentinidae,Argentina,silus,21,27,
Argentinidae,Argentina,sphyraena,22,27,
Argentinidae,Argentina,sphyraena,21,27,
Argentinidae,Argentina,sphyraena,20,27,
Argentinidae,Argentina,,22,27,
Argentinidae,NA,,22,27,
Argentinidae,NA,,21,27,
Arhynchobatidae,Bathyraja,spinicauda,20,27,
Arhynchobatidae,Bathyraja,spinicauda,21,27,
Arhynchobatidae,Bathyraja,spinicauda,22,27,
Belonidae,Belone,belone,20,27,
Belonidae,Belone,belone,22,27,
Belonidae,Belone,belone,21,27,
Bothidae,Arnoglossus,laterna,22,27,
Bothidae,NA,,22,27,
Bramidae,Brama,brama,22,27,
Bramidae,Pterycombus,brama,20,27,
Callionymidae,Callionymus,lyra,22,27,
Callionymidae,Callionymus,lyra,20,27,
Callionymidae,Callionymus,lyra,21,27,
Callionymidae,Callionymus,maculatus,22,27,
Callionymidae,Callionymus,maculatus,21,27,
Callionymidae,Callionymus,maculatus,20,27,
Callionymidae,Callionymus,reticulatus,22,27,
Callionymidae,Callionymus,reticulatus,21,27,
Callionymidae,Callionymus,,22,27,
Callionymidae,NA,,22,27,
Callionymidae,NA,,21,27,
Callionymidae,NA,,20,27,
Carangidae,Trachurus,trachurus,22,27,
Carangidae,Trachurus,trachurus,21,27,
Carangidae,Trachurus,trachurus,20,27,
Carapidae,Echiodon,drummondii,21,27,
Carapidae,Echiodon,drummondii,22,27,
Carapidae,Echiodon,drummondii,20,27,
Carapidae,NA,,22,27,
Carapidae,NA,,21,27,
Centriscidae,Macroramphosus,scolopax,22,27,
Centrolophidae,Schedophilus,medusophagus,21,27,
Centrolophidae,Schedophilus,medusophagus,20,27,
Centrolophidae,Schedophilus,medusophagus,22,27,
Centrophoridae,Centrophorus,squamosus,22,27,
Chimaeridae,Chimaera,monstrosa,22,27,
Chimaeridae,Chimaera,monstrosa,20,27,
Chimaeridae,Chimaera,monstrosa,21,27,
Clupeidae,Alosa,agone,22,27,
Clupeidae,Alosa,alosa,22,27,
Clupeidae,Clupea,harengus,20,27,
Clupeidae,Clupea,harengus,21,27,
Clupeidae,Clupea,harengus,22,27,
Clupeidae,Clupea,harengus harengus,22,27,harengus
Clupeidae,Clupea,harengus harengus,20,27,harengus
Clupeidae,Clupea,harengus harengus,21,27,harengus
Clupeidae,Sardina,pilchardus,22,27,
Clupeidae,Sprattus,sprattus,22,27,
Clupeidae,Sprattus,sprattus,21,27,
Clupeidae,Sprattus,sprattus,20,27,
Congridae,Conger,conger,22,27,
Cottidae,Artediellus,atlanticus,20,27,
Cottidae,Artediellus,atlanticus,21,27,
Cottidae,Artediellus,atlanticus,22,27,
Cottidae,Gymnocanthus,tricuspis,20,27,
Cottidae,Gymnocanthus,tricuspis,21,27,
Cottidae,Icelus,bicornis,20,27,
Cottidae,Icelus,bicornis,21,27,
Cottidae,Icelus,bicornis,22,27,
Cottidae,Micrenophrys,lilljeborgii,20,27,
Cottidae,Myoxocephalus,quadricornis,20,27,
Cottidae,Myoxocephalus,quadricornis,21,27,
Cottidae,Myoxocephalus,scorpius,20,27,
Cottidae,Myoxocephalus,scorpius,22,27,
Cottidae,Myoxocephalus,scorpius,21,27,
Cottidae,NA,,20,27,
Cottidae,NA,,22,27,
Cottidae,NA,,21,27,
Cottidae,Taurulus,bubalis,20,27,
Cottidae,Triglops,murrayi,22,27,
Cottidae,Triglops,murrayi,20,27,
Cottidae,Triglops,murrayi,21,27,
Cottidae,Triglops,nybelini,20,27,
Cottidae,Triglops,pingelii,20,27,
Cottidae,Triglops,pingelii,21,27,
Cottidae,Triglops,pingelii,22,27,
Cottidae,Triglops,,20,27,
Cottidae,Triglops,,21,27,
Cottidae,Triglops,,22,27,
Cyclopteridae,Cyclopteropsis,mcalpini,20,27,
Cyclopteridae,Cyclopterus,lumpus,22,27,
Cyclopteridae,Cyclopterus,lumpus,20,27,
Cyclopteridae,Cyclopterus,lumpus,21,27,
Cyclopteridae,Eumicrotremus,derjugini,20,27,
Cyclopteridae,Eumicrotremus,spinosus,20,27,
Cyclopteridae,Eumicrotremus,spinosus,22,27,
Cyclopteridae,Eumicrotremus,spinosus,21,27,
Cyclopteridae,NA,,20,27,
Cyclopteridae,NA,,21,27,
Dasyatidae,Dasyatis,pastinaca,22,27,
Engraulidae,Engraulis,encrasicolus,22,27,
Engraulidae,Engraulis,encrasicolus,21,27,
Etmopteridae,Etmopterus,spinax,22,27,
Etmopteridae,Etmopterus,spinax,21,27,
Etmopteridae,Etmopterus,spinax,20,27,
Gadidae,Arctogadus,glacialis,20,27,
Gadidae,Arctogadus,glacialis,21,27,
Gadidae,Boreogadus,saida,20,27,
Gadidae,Boreogadus,saida,21,27,
Gadidae,Gadiculus,argenteus,20,27,
Gadidae,Gadiculus,argenteus,22,27,
Gadidae,Gadiculus,argenteus,21,27,
Gadidae,Gadus,chalcogrammus,20,27,
Gadidae,Gadus,morhua,20,27,
Gadidae,Gadus,morhua,22,27,
Gadidae,Gadus,morhua,21,27,
Gadidae,Melanogrammus,aeglefinus,22,27,
Gadidae,Melanogrammus,aeglefinus,20,27,
Gadidae,Melanogrammus,aeglefinus,21,27,
Gadidae,Merlangius,merlangus,22,27,
Gadidae,Merlangius,merlangus,20,27,
Gadidae,Merlangius,merlangus,21,27,
Gadidae,Micromesistius,poutassou,20,27,
Gadidae,Micromesistius,poutassou,22,27,
Gadidae,Micromesistius,poutassou,21,27,
Gadidae,NA,,20,27,
Gadidae,Pollachius,pollachius,22,27,
Gadidae,Pollachius,pollachius,21,27,
Gadidae,Pollachius,pollachius,20,27,
Gadidae,Pollachius,virens,22,27,
Gadidae,Pollachius,virens,20,27,
Gadidae,Pollachius,virens,21,27,
Gadidae,Raniceps,raninus,22,27,
Gadidae,Raniceps,raninus,20,27,
Gadidae,Trisopterus,esmarkii,20,27,
Gadidae,Trisopterus,esmarkii,22,27,
