family,genus,species,lme,fao,level,FB_E_Code,source,type.length,taxo,b,a
Squalidae,Squalus,acanthias,20,27,species,NA,fb,TL,spe-LME,3,0.01
Squalidae,Squalus,acanthias,22,27,species,NA,fb,TL,spe-LME,3,0.01
Squalidae,Squalus,acanthias,21,27,species,NA,fb,TL,spe-LME,3,0.01
Gasterosteidae,Gasterosteus,aculeatus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Gasterosteidae,Gasterosteus,aculeatus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Lycodes,adolfi,20,27,species,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Lycodes,adolfi,21,27,species,NA,fb,TL,spe-LME,3,0.01
Gadidae,Melanogrammus,aeglefinus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Gadidae,Melanogrammus,aeglefinus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Gadidae,Melanogrammus,aeglefinus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Syngnathidae,Entelurus,aequoreus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Syngnathidae,Entelurus,aequoreus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Syngnathidae,Entelurus,aequoreus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Clupeidae,Alosa,agone,22,27,species,NA,fb,TL,spe-LME,3,0.01
Clupeidae,Alosa,alosa,22,27,species,NA,fb,TL,spe-LME,3,0.01
Anguillidae,Anguilla,anguilla,22,27,species,NA,fb,TL,spe-LME,3,0.01
Anguillidae,Anguilla,anguilla,21,27,species,NA,fb,TL,spe-LME,3,0.01
Trachipteridae,Trachipterus,arcticus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Lotidae,Gaidropsarus,argentatus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Lotidae,Gaidropsarus,argentatus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Lotidae,Gaidropsarus,argentatus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Gadidae,Gadiculus,argenteus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Gadidae,Gadiculus,argenteus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Gadidae,Gadiculus,argenteus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Stichaeidae,Chirolophis,ascanii,20,27,species,NA,fb,TL,spe-LME,3,0.01
Stichaeidae,Chirolophis,ascanii,22,27,species,NA,fb,TL,spe-LME,3,0.01
Stichaeidae,Chirolophis,ascanii,21,27,species,NA,fb,TL,spe-LME,3,0.01
Triakidae,Mustelus,asterias,22,27,species,NA,fb,TL,spe-LME,3,0.01
Cottidae,Artediellus,atlanticus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Cottidae,Artediellus,atlanticus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Cottidae,Artediellus,atlanticus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Liparidae,Liparis,bathyarcticus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Liparidae,Paraliparis,bathybius,20,27,species,NA,fb,TL,spe-LME,3,0.01
Liparidae,Paraliparis,bathybius,21,27,species,NA,fb,TL,spe-LME,3,0.01
Rajidae,Dipturus,batis,20,27,species,NA,fb,TL,spe-LME,3,0.01
Rajidae,Dipturus,batis,22,27,species,NA,fb,TL,spe-LME,3,0.01
Rajidae,Dipturus,batis,21,27,species,NA,fb,TL,spe-LME,3,0.01
Belonidae,Belone,belone,20,27,species,NA,fb,TL,spe-LME,3,0.01
Belonidae,Belone,belone,22,27,species,NA,fb,TL,spe-LME,3,0.01
Belonidae,Belone,belone,21,27,species,NA,fb,TL,spe-LME,3,0.01
Macrouridae,Macrourus,berglax,20,27,species,NA,fb,TL,spe-LME,3,0.01
Macrouridae,Macrourus,berglax,21,27,species,NA,fb,TL,spe-LME,3,0.01
Macrouridae,Macrourus,berglax,22,27,species,NA,fb,TL,spe-LME,3,0.01
Labridae,Labrus,bergylta,22,27,species,NA,fb,TL,spe-LME,3,0.01
Cottidae,Icelus,bicornis,20,27,species,NA,fb,TL,spe-LME,3,0.01
Cottidae,Icelus,bicornis,21,27,species,NA,fb,TL,spe-LME,3,0.01
Cottidae,Icelus,bicornis,22,27,species,NA,fb,TL,spe-LME,3,0.01
Phycidae,Phycis,blennoides,21,27,species,NA,fb,TL,spe-LME,3,0.01
Phycidae,Phycis,blennoides,20,27,species,NA,fb,TL,spe-LME,3,0.01
Phycidae,Phycis,blennoides,22,27,species,NA,fb,TL,spe-LME,3,0.01
Scophthalmidae,Lepidorhombus,boscii,22,27,species,NA,fb,TL,spe-LME,3,0.01
Scophthalmidae,Lepidorhombus,boscii,20,27,species,NA,fb,TL,spe-LME,3,0.01
Scophthalmidae,Lepidorhombus,boscii,21,27,species,NA,fb,TL,spe-LME,3,0.01
Bramidae,Brama,brama,22,27,species,NA,fb,TL,spe-LME,3,0.01
Bramidae,Pterycombus,brama,20,27,species,NA,fb,TL,spe-LME,3,0.01
Lotidae,Brosme,brosme,20,27,species,NA,fb,TL,spe-LME,3,0.01
Lotidae,Brosme,brosme,21,27,species,NA,fb,TL,spe-LME,3,0.01
Lotidae,Brosme,brosme,22,27,species,NA,fb,TL,spe-LME,3,0.01
Cottidae,Taurulus,bubalis,20,27,species,NA,fb,TL,spe-LME,3,0.01
Lophiidae,Lophius,budegassa,22,27,species,NA,fb,TL,spe-LME,3,0.01
Macrouridae,Coelorinchus,caelorhincus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Macrouridae,Coelorinchus,caelorhincus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Scyliorhinidae,Scyliorhinus,canicula,22,27,species,NA,fb,TL,spe-LME,3,0.01
